Store,Panda YTD Spend,Panda Units,Units/SKU,Proposal Total,PDF Filename
[GNGT] The Green Nugget Pullman - VMI - 1WT,40102.5,6567,15,385.65,[GNGT] The Green Nugget Pullman - VMI - 1WT PICC Proposal.pdf
[FLYD] Floyd's Cannabis Everett - VMI,40092.41,7248,15,385.65,[FLYD] Floyd's Cannabis Everett - VMI PICC Proposal.pdf
[2020] 2020 Solutions Pacific - VMI - 1WT,39796.9,5304,15,385.65,[2020] 2020 Solutions Pacific - VMI - 1WT PICC Proposal.pdf
[POM] Piece of Mind Bellingham - VMI,39215.79,6274,15,385.65,[POM] Piece of Mind Bellingham - VMI PICC Proposal.pdf
Tru Greenthumb,38716.47,4181,15,385.65,Tru Greenthumb PICC Proposal.pdf
[2020] 2020 Solutions Iron - VMI - 1WT,38441.29,4971,15,385.65,[2020] 2020 Solutions Iron - VMI - 1WT PICC Proposal.pdf
[SLBN] The Slow Burn Moxee,37461.06,7685,15,385.65,[SLBN] The Slow Burn Moxee PICC Proposal.pdf
[FCC] Forbidden Cannabis Club Carson - 1WT,37206.02,8859,15,385.65,[FCC] Forbidden Cannabis Club Carson - 1WT PICC Proposal.pdf
365 Recreational Dayton - VMI,36580.03,8548,15,385.65,365 Recreational Dayton - VMI PICC Proposal.pdf
[GPSY] Gypsy Greens Chehalis,36215.7,6660,15,385.65,[GPSY] Gypsy Greens Chehalis PICC Proposal.pdf
[FCC] Forbidden Cannabis Club Okanogan - 1WT,36186.94,6319,15,385.65,[FCC] Forbidden Cannabis Club Okanogan - 1WT PICC Proposal.pdf
[420] 420 Elma on Main - 1WT,35058.06,6566,15,385.65,[420] 420 Elma on Main - 1WT PICC Proposal.pdf
[KLF] Kaleafa Oak Harbor - 1WT,34966.94,6013,15,385.65,[KLF] Kaleafa Oak Harbor - 1WT PICC Proposal.pdf
[EUPM] Euphorium Vashon - VMI,34951.04,5423,15,385.65,[EUPM] Euphorium Vashon - VMI PICC Proposal.pdf
Smokane - 1WT,34264.58,4480,14,359.94,Smokane - 1WT PICC Proposal.pdf
[HOC] House of Cannabis Twisp -  1WT,33965.69,5294,14,359.94,[HOC] House of Cannabis Twisp -  1WT PICC Proposal.pdf
Buds Garage Everett - VMI,33571.44,4409,14,359.94,Buds Garage Everett - VMI PICC Proposal.pdf
[CNDR] Cinder (Valley),33298.95,3610,14,359.94,[CNDR] Cinder (Valley) PICC Proposal.pdf
[FBG] Fillabong Bremerton,33276.92,3565,14,359.94,[FBG] Fillabong Bremerton PICC Proposal.pdf
[FDM] Fweedom Cannabis Mountlake Terrace - 1WT,33244.62,5793,14,359.94,[FDM] Fweedom Cannabis Mountlake Terrace - 1WT PICC Proposal.pdf
[JNT] Starbuds - Bellingham - 1WT,32760.53,5270,14,359.94,[JNT] Starbuds - Bellingham - 1WT PICC Proposal.pdf
[HOC] House of Cannabis Tonasket - 1WT,32268.3,5747,14,359.94,[HOC] House of Cannabis Tonasket - 1WT PICC Proposal.pdf
Greenfield Cannabis,32117.55,3474,14,359.94,Greenfield Cannabis PICC Proposal.pdf
THC of Olympia - VMI,32042.8,9023,14,359.94,THC of Olympia - VMI PICC Proposal.pdf
[H420] Hangar 420 (Lynnwood) - 1WT,31986.68,4198,14,359.94,[H420] Hangar 420 (Lynnwood) - 1WT PICC Proposal.pdf
[LVLY] Lovely Buds North - VMI,31299.16,3771,14,359.94,[LVLY] Lovely Buds North - VMI PICC Proposal.pdf
[BKRE] The Bakeree Belltown - 1WT,30601.92,6410,14,359.94,[BKRE] The Bakeree Belltown - 1WT PICC Proposal.pdf
[LVLY] Frosted Cannabis Sprague - VMI,30529.6,3596,14,359.94,[LVLY] Frosted Cannabis Sprague - VMI PICC Proposal.pdf
