Product,SKU Group,Brand,Retail Category,Revenue,Units,Last Order
Happy Hour 1g Preroll,,Phat Panda,,94.8,60,2026-05-18
Wedding Cake LR Dabstract 1g C-Cell - (H),,Dabstract,,94.0,10,2026-03-29
Sunset Sherbert LR Infused Preroll - (I),,Dabstract,,93.4,20,2026-05-03
Dank Draaank LR Dabstract 1g AIO - (H),,Dabstract,,93.36,8,2026-03-29
Terpee Slurpee 1g Preroll,,Phat Panda,,93.1,70,2026-03-13
Scotch & Soda 1g Preroll,,Phat Panda,,93.1,70,2026-04-14
Runtz Burger 1g Preroll,,Phat Panda,,93.1,70,2026-04-14
Ice Cream Cake 1g Preroll,,Phat Panda,,93.1,70,2026-03-29
Lemon Batter 1g Preroll,,Phat Panda,,93.1,70,2026-03-29
Blue Raspberry LR Gummiez - Sativa,,Hot Sugar,,93.0,18,2026-05-18
Dragon Fruit LR Gummiez - Sativa,,Hot Sugar,,92.5,18,2026-06-08
Rootbeer Panda Candies,,Hot Sugar,,91.27,27,2026-06-08
Phat Panda Flower (Ice Cream Cake/28g),,Phat Panda,,90.16,2,2026-02-11
(H) Apple Fritter & MACmosa DOH 2pk 1g,,PICC,,90.0,20,2026-06-16
(S) Blue Dream & Strawberry Cough DOH 2pk 1g,,PICC,,90.0,20,2026-06-16
Blueberry Diesel 1g Preroll,,Phat Panda,,90.0,60,2026-03-01
Cream Puffs 1g Preroll,,Phat Panda,,90.0,60,2026-01-03
Indica - Blueberry Dream,,Micro Bar,,90.0,6,2026-01-26
(H) Gummy Runtz & Runtz DOH 2pk 1g,,PICC,,90.0,20,2026-06-16
Apricot Jelly,,Micro Bar,,90.0,6,2026-01-04
Sour Green Apple Fruit Drops,,Hot Sugar,,89.2,22,2026-06-08
Peach Mango Fruit Drops,,Hot Sugar,,89.2,22,2026-06-08
Indica - Strawberry Jelly Panda Pen AIO,,Panda Concentrates,,87.5,10,2026-06-08
Indica - Hawaiian Zkittlez Infused Preroll,,Phat Panda,,86.7,30,2026-04-14
Chronberry Crunch Platinum Bong Buddies,,Phat Panda,,84.95,25,2026-06-08
Royal GSC LR Dabstract 1g C-Cell - (H),,Dabstract,,84.0,8,2026-06-08
Pink Lemonade Macro Bar,,Non Marijuana Products - Macro Bar,,84.0,3,2026-03-29
Phat Panda Flower (Kush Mintz/3.5g),,Phat Panda,,83.76,12,2026-06-08
Phat Panda Flower (Jack & Coke/3.5g),,Phat Panda,,83.76,12,2026-05-18
Phat Panda Flower (Candy Gas/3.5g),,Phat Panda,,83.76,12,2026-06-08
Phat Panda Flower (Raspberry Zkittlez/3.5g),,Phat Panda,,83.76,12,2026-05-18
Sativa - Peach Ringz Infused Preroll,,Phat Panda,,83.4,30,2026-03-29
Blue Raspberry LR Gummiez - Indica,,Hot Sugar,,82.5,16,2026-06-08
Sativa - Watermelon Mojito Panda Pen,,Panda Concentrates,,82.2,12,2026-03-13
